Track Name,Album Release Decade,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Artist Popularity,Track URI,Track Popularity
4 Minutes (feat. Justin Timberlake and Timbaland),00s,"dance pop, pop",0.705,0.911,2.0,-4.873,1.0,0.0717,0.00592,0.00154,0.0603,0.803,113.032,4.0,81,spotify:track:1dDNz8h95Gsu0W4QdxVVln,58
So Yesterday,00s,"dance pop, pop, post-teen pop",0.552,0.803,0.0,-3.81,1.0,0.0611,0.234,0.0,0.308,0.784,78.196,4.0,55,spotify:track:2WKyaIrR5qhg2f8bGPcHk2,0
The Sweet Escape,00s,"dance pop, pop",0.753,0.771,1.0,-3.522,1.0,0.0339,0.198,0.0,0.189,0.711,119.97,4.0,73,spotify:track:6fvZwoOMEMy2LBbLtdznHE,35
Candy Shop,00s,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",0.581,0.569,7.0,-7.978,1.0,0.43,0.0248,4.94e-05,0.373,0.726,97.927,4.0,83,spotify:track:6pEROStfGkIV1sOAeWkUid,0
Whataya Want from Me,00s,"dance pop, idol, pop, post-teen pop",0.44,0.683,11.0,-4.732,0.0,0.0489,0.00706,0.0,0.0593,0.445,185.948,4.0,60,spotify:track:2rDwdvBma1O1eLzo29p2cr,62
For Your Entertainment,00s,"dance pop, idol, pop, post-teen pop",0.654,0.872,1.0,-3.824,1.0,0.11,0.0411,0.0,0.0808,0.612,130.023,4.0,60,spotify:track:0BmT0BVnYYggf7V4NCtx2B,51
Like a Prayer,00s,"dance pop, pop",0.624,0.842,5.0,-5.285,1.0,0.0376,0.264,2.11e-05,0.181,0.257,111.037,4.0,81,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,74
Celebration,00s,"dance pop, pop",0.637,0.891,11.0,-4.139,0.0,0.0345,0.0742,0.000622,0.0686,0.933,126.002,4.0,81,spotify:track:5HktkLHDbjA6LTyRTBEzHy,51
The Way I Are,00s,"dance pop, pop, pop rap",0.73,0.807,3.0,-6.475,0.0,0.114,0.179,0.718,0.28,0.727,114.715,4.0,78,spotify:track:5J7iGuzi7Nj8SGvt0TAVzK,0
Bad Romance,00s,"art pop, dance pop, pop",0.694,0.924,0.0,-3.764,1.0,0.0405,0.00309,3.89e-05,0.121,0.72,118.988,4.0,85,spotify:track:34dAuFhftSbjLWksf8c73i,0
The Monster,10s,"detroit hip hop, hip hop, rap",0.785,0.859,9.0,-3.673,1.0,0.0775,0.0547,0.0,0.0631,0.603,110.012,4.0,90,spotify:track:6ilfuI7O1vUfKf4TQ9fJRb,0
Do What U Want,10s,"art pop, dance pop, pop",0.785,0.815,9.0,-4.374,1.0,0.0653,0.309,7.25e-06,0.0999,0.556,97.529,4.0,85,spotify:track:1zLwQOUVCzWgiIhSfUarKI,0
Euphoria - Single Version,10s,europop,0.562,0.783,11.0,-4.727,0.0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,4.0,70,spotify:track:1xN7BpTAWnZkuSLOtRP6Qc,55
Glad You Came,10s,"boy band, dance pop, pop, post-teen pop",0.698,0.844,7.0,-4.549,0.0,0.067,0.0577,1.69e-05,0.105,0.446,126.937,4.0,64,spotify:track:1OXfWI3FQMdsKKC6lkvzSx,5
Yee - Original Mix,10s,"dutch house, edm, electro house, melbourne bounce, melbourne bounce international, pop dance, progressive electro house",0.732,0.989,5.0,-4.172,0.0,0.0483,0.102,0.748,0.0551,0.684,127.984,4.0,66,spotify:track:629LSgJ5RByv34caJVVBuq,0
The Bell - Radio Mix,10s,hamburg electronic,0.612,0.974,7.0,-2.851,0.0,0.0412,2.21e-05,0.948,0.372,0.278,128.011,4.0,6,spotify:track:1HYZBBHMaqgaOYDcw7Ifpj,8
Boneless,10s,"edm, electro house, pop dance",0.743,0.962,11.0,-3.205,0.0,0.0629,0.00445,0.613,0.352,0.643,127.99,4.0,71,spotify:track:4qPnE8jBZN3wmgGxspsOcP,0
Call Me A Spaceman - Radio Edit,10s,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house",0.581,0.877,3.0,-3.595,0.0,0.0486,0.0172,0.0,0.248,0.35,127.952,4.0,67,spotify:track:1UPyhGntpIx9jGJ5UVtKVS,0
Lights - Single Version,10s,"indietronica, metropopolis, pop, uk pop",0.683,0.789,8.0,-6.132,0.0,0.0353,0.0283,0.0492,0.112,0.809,120.013,4.0,79,spotify:track:7gUpO6td4OOnu0Lf9vhcIV,63
Work Bitch,10s,"dance pop, pop",0.629,0.824,9.0,-6.53,1.0,0.159,0.155,0.000628,0.0651,0.852,128.01,4.0,81,spotify:track:3KliPMvk1EvFZu9cvkj8p1,69
Shot Me Down (feat. Skylar Grey) - Radio Edit,10s,"big room, dance pop, edm, pop, pop dance",0.347,0.772,5.0,-4.359,0.0,0.0549,0.0597,0.0333,0.115,0.035,192.118,3.0,88,spotify:track:7qfwcqfGOkQYtzjF4UzJHM,57
Beautiful Day,00s,"irish rock, permanent wave, rock",0.536,0.928,11.0,-6.492,0.0,0.0589,0.0154,0.00134,0.2,0.389,136.258,4.0,78,spotify:track:0gzqZ9d1jIKo9psEIthwXe,76
Pakastin,10s,"finnish dance pop, finnish hip hop",0.886,0.74,7.0,-5.745,0.0,0.223,0.17,0.0,0.229,0.81,126.029,4.0,42,spotify:track:3LflHr5D44uAW9wppQ7Dnw,31
Desibelii (feat. Sharon),10s,"finnish dance pop, finnish hip hop",0.813,0.818,10.0,-3.932,0.0,0.0671,0.0541,0.0,0.349,0.489,110.019,4.0,23,spotify:track:4sojrNZzfhcZ6rB33kJ8pN,25
Bae,10s,"finnish dance pop, finnish hip hop",0.849,0.903,0.0,-2.946,1.0,0.0666,0.185,0.0,0.0825,0.915,120.031,4.0,41,spotify:track:0b2mU9wEUI8MmOVFNK3IVQ,23
Do You Wanna Fuck,00s,swedish eurodance,0.776,0.677,2.0,-5.342,0.0,0.0567,0.153,0.0,0.0842,0.75,93.011,4.0,39,spotify:track:00eArGDfSh7qPGTy4Vtyo8,0
Mahtuuko kyytiin?,10s,"finnish dance pop, finnish hip hop",0.708,0.651,5.0,-5.161,1.0,0.135,0.0639,3.24e-05,0.175,0.848,151.959,4.0,46,spotify:track:3YtuyguojdSAOvEqbnoxaf,0
Isol kirkol,10s,"finnish dance pop, finnish hip hop, finnish trap",0.733,0.648,5.0,-5.78,0.0,0.0941,0.00222,0.0,0.211,0.761,143.025,4.0,41,spotify:track:4ZI4YGIBPwburXxUgGZiP5,26
Can't Feel My Face - Martin Garrix Remix,10s,"canadian contemporary r&b, canadian pop, pop",0.607,0.707,9.0,-5.509,0.0,0.106,0.00842,1.71e-05,0.348,0.117,128.014,4.0,95,spotify:track:1DZ9n7K1LZW8bWBZqGJUfN,0
Divine Sorrow,10s,rap kreyol,0.546,0.606,0.0,-4.158,1.0,0.041,0.0255,0.0,0.1,0.413,129.996,4.0,72,spotify:track:007lsEHi6fP9LoYB7czYUa,0
We Are Forever - feat. Jonny Rose,10s,finnish dance pop,0.398,0.878,0.0,-4.732,0.0,0.0732,0.00085,4.87e-06,0.719,0.141,129.901,4.0,7,spotify:track:2dX2SKn8M1ybhWBddKi9lc,13
Apollo - Radio Edit,10s,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house",0.56,0.742,9.0,-6.122,1.0,0.0666,0.015,0.0134,0.639,0.275,128.06,4.0,67,spotify:track:3oMRPbLcdkMVIjnzp7baRB,26
Faith - Radio Edit,10s,"big room, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.671,0.689,2.0,-6.613,1.0,0.044,0.00639,0.00291,0.212,0.641,128.001,4.0,61,spotify:track:7qcoZzfJ7HGOuR6fwTbZND,34
Take Me Higher - R3hab Remix,10s,melodic dubstep,0.671,0.888,2.0,-4.771,1.0,0.0836,0.0336,0.000751,0.0828,0.105,128.01,4.0,32,spotify:track:0X7K6bfRuUM8FNhdecXhy3,3
Famous,10s,"chicago rap, hip hop, rap",0.477,0.749,6.0,-3.662,1.0,0.101,0.0639,0.0,0.115,0.403,173.883,4.0,94,spotify:track:7KOcjfiSuMPsQqLXhD0PlN,0
Lionheart (feat. The Royalties STHLM) - Jenaux Radio Edit,10s,"progressive electro house, progressive house",0.474,0.896,9.0,-3.671,0.0,0.0476,0.00655,0.0,0.379,0.177,125.998,3.0,27,spotify:track:2pd6hufi7ZJZxKeNyARivR,0
Ah Yeah So What - Radio Edit,10s,"big room, dutch house, melbourne bounce, melbourne bounce international",0.678,0.959,0.0,-3.906,1.0,0.157,0.0661,0.652,0.18,0.664,127.978,4.0,60,spotify:track:37PuGmhHTzDbbaUAFKj6bJ,46
Angel,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.512,0.85,7.0,-4.956,0.0,0.0329,0.0247,0.0,0.334,0.331,128.031,4.0,60,spotify:track:6C5k3fZmSi2ew9sZtWB8Ax,0
Body Talk (feat. Julian Perretta) - Radio Edit,10s,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house",0.561,0.922,7.0,-4.748,1.0,0.295,0.00263,1.87e-05,0.506,0.634,127.999,4.0,74,spotify:track:0SZqc82jwXtfomwo11gtVh,0
Bonfire,10s,"australian dance, brostep, complextro, edm, electro house, moombahton, pop dance",0.536,0.944,1.0,-3.029,1.0,0.0867,0.000117,0.00345,0.353,0.589,174.031,4.0,53,spotify:track:0QIYINh2AwmOmdu8CRYvlw,61
Bouncybob (feat. Justin Mylo & Mesto),10s,"dutch edm, edm, pop, pop dance, progressive house",0.73,0.896,9.0,-7.863,0.0,0.0692,0.000727,0.806,0.13,0.331,128.012,4.0,76,spotify:track:0MyfJah9XRKoF68chrxVmZ,0
Break Through The Silence - Original Mix,10s,"dutch edm, edm, pop, pop dance, progressive house",0.574,0.959,9.0,-5.529,1.0,0.0634,0.00327,0.0235,0.0691,0.206,128.012,4.0,76,spotify:track:2hSltlbnyQtKvfaZ1EjljN,0
Can't Go Home (feat. Adam Lambert) - Radio Edit,10s,"edm, electro house, pop dance",0.662,0.797,0.0,-5.209,1.0,0.0951,0.0182,2.26e-05,0.279,0.673,123.947,4.0,71,spotify:track:0QHnxQsdunrlmduVLPQCNy,35
Flashlight - Original Edit,10s,"dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.671,0.947,10.0,-3.638,1.0,0.046,0.0304,0.632,0.304,0.393,128.03,4.0,76,spotify:track:60HuL4PsomRiWh79KBV7jk,0
Helicopter - Original Edit,10s,"dutch edm, edm, pop, pop dance, progressive house",0.601,0.962,3.0,-4.52,1.0,0.0427,0.00984,0.291,0.0977,0.0749,128.055,4.0,76,spotify:track:3m3OwRXheUtBRKmcVNUsFo,0
Higher Place (feat. Ne-Yo),10s,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house",0.71,0.614,7.0,-6.253,1.0,0.0743,0.246,4.14e-05,0.151,0.557,124.932,4.0,74,spotify:track:2mviqu3iMdsQjeWSxBk7gf,0
Letting Go - Radio Version,10s,"classic hardstyle, euphoric hardstyle",0.47,0.915,5.0,-3.594,0.0,0.0408,0.0685,5.22e-05,0.2,0.244,149.951,4.0,62,spotify:track:56DwfNdpXlUYshzPZnWJ5V,29
Xception - Original Mix,10s,"electro house, progressive electro house",0.688,0.943,1.0,-2.87,1.0,0.135,0.00187,0.848,0.0713,0.627,132.001,4.0,38,spotify:track:2W6V1ygPikPHOgI7aTSFVe,0
Pyramids - Radio Mix,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.602,0.965,10.0,-0.959,1.0,0.074,0.000269,0.00202,0.0859,0.215,128.14,4.0,60,spotify:track:7ipioDTtamvmdNHwQDsOKc,0
This Is Dirty - Original Mix,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.456,0.905,7.0,-1.405,0.0,0.0737,0.000263,0.899,0.0954,0.084,128.078,4.0,60,spotify:track:6FqH28raIkXVlcHDUvlEzA,0
Raveheart - Original Mix,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.5,0.986,10.0,-2.197,1.0,0.322,0.00106,0.000115,0.283,0.24,127.972,4.0,60,spotify:track:0kTC7L9V1nEGk58UjA5uqr,0
White Clouds - MOGUAI Remix,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.629,0.687,9.0,-5.14,0.0,0.0583,0.00282,3.86e-05,0.136,0.326,126.018,4.0,60,spotify:track:11L5tbYfk6gOOdmOqMjJYo,0
Voodoo - Original Mix,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.652,0.822,3.0,-4.579,0.0,0.0415,0.00185,0.103,0.0635,0.101,127.996,4.0,60,spotify:track:1CYAEcbhLAluTm47dIFFgZ,0
We Were Young - Original Mix,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.467,0.901,0.0,-4.397,1.0,0.101,0.00779,0.0254,0.0608,0.0552,127.952,4.0,60,spotify:track:0nr272gODfF2SNA1Q0cuBx,0
Tsunami (Jump) - Radio Edit,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.699,0.982,11.0,-1.115,0.0,0.141,0.0417,0.000338,0.0849,0.383,127.958,4.0,60,spotify:track:3jsHAlEfplbszLcDID7BHq,20
Raveology - Original Edit,10s,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",0.648,0.978,9.0,-3.161,1.0,0.0898,0.0087,0.835,0.13,0.582,127.981,4.0,60,spotify:track:4O0xbUIH7R6opCojtWmtl0,0
Moment 4 Life,10s,"hip pop, pop, queens hip hop, rap",0.651,0.888,11.0,-3.821,1.0,0.295,0.375,0.0,0.299,0.371,97.946,4.0,87,spotify:track:39XNWKuuBZK0oaV5YmD2dF,0
Fly,10s,"hip pop, pop, queens hip hop, rap",0.651,0.853,10.0,-4.751,1.0,0.0372,0.0146,9.22e-05,0.0971,0.21,119.884,4.0,87,spotify:track:6mjEABpi5cQ5gqFFOkR1Cc,0
Break Your Heart,10s,"dance pop, pop, pop rap",0.607,0.934,3.0,-4.217,1.0,0.0314,0.0327,0.0,0.0909,0.568,122.01,4.0,70,spotify:track:7ElF5zxOwYP4qVSWVvse3W,71
Africa - Radio Version,10s,,0.77,0.692,9.0,-5.594,1.0,0.0566,0.0127,0.000139,0.115,0.513,105.024,4.0,33,spotify:track:0P7lnn81aNwdv2kYWkCFLK,0
Spaceships,10s,,0.441,0.766,6.0,-5.921,0.0,0.0533,0.0181,1.6e-06,0.509,0.52,150.054,4.0,49,spotify:track:7Ktv8bQUjZt0rr16qgB4h2,0
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,10s,"big room, dance pop, dutch house, edm, electro house, pop dance",0.57,0.888,2.0,-3.172,1.0,0.044,0.0335,1.53e-06,0.048,0.211,128.025,4.0,73,spotify:track:3i4SQvUfK8Un3YkraZwkNr,0
Young Hearts (The Chainsmokers Remix),10s,"electrofox, metropopolis, shimmer pop",0.679,0.838,1.0,-3.068,1.0,0.0722,0.0245,7.8e-05,0.201,0.337,126.945,4.0,31,spotify:track:5Y2ir05xOp9URUlkQuzUcL,20
Here Tonight,10s,"big room, dutch trance, edm, pop dance, progressive house, trance, uplifting trance",0.547,0.753,7.0,-2.371,0.0,0.044,0.141,0.0,0.368,0.345,127.959,4.0,63,spotify:track:4bwzssgMDOz3nfxkpSqTj8,26
Belong,10s,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house",0.577,0.88,6.0,-2.916,1.0,0.0357,0.335,0.896,0.143,0.259,127.951,4.0,64,spotify:track:1la2o7WHv6erRe18gs5sMN,49
Generation Party - Hands Up Radio Edit,10s,"hands up, italo dance",0.638,0.796,4.0,-4.331,0.0,0.0406,0.039,0.0,0.0737,0.45,142.133,4.0,61,spotify:track:5wKoE60pI5NzDIESt79KXH,0
Back 2 U (feat. WALK THE MOON),10s,"edm, electro house, pop dance",0.635,0.875,10.0,-6.221,1.0,0.0512,0.021,7.94e-06,0.139,0.545,126.034,4.0,71,spotify:track:5deDWZeDHWfYk9xaq9ynh4,43
Let Me Hold You (Turn Me On),10s,"deep tropical house, pop edm",0.68,0.774,1.0,-3.136,0.0,0.0697,0.101,0.0,0.113,0.331,102.949,4.0,45,spotify:track:0lmdsH1MIoLsMymnNpd6HU,0
Red Dress,10s,"pop, reggae fusion",0.651,0.794,10.0,-4.458,1.0,0.0329,0.0913,0.0,0.249,0.792,135.974,4.0,68,spotify:track:4zag02jtwumRcnPdYYr0Do,46
Liar,10s,"dance pop, pop",0.59,0.776,6.0,-5.272,0.0,0.0705,0.00705,1.69e-05,0.414,0.81,159.946,4.0,81,spotify:track:0SRMPI9KOnuNRjcK4wZC8j,0
Clumsy,10s,"dance pop, pop",0.774,0.473,5.0,-7.07,0.0,0.131,0.0578,0.0,0.0888,0.362,103.884,4.0,81,spotify:track:19dCpK5w7ZQFaYZBZB0G0T,0
Just Luv Me,10s,"dance pop, pop",0.616,0.492,9.0,-9.79,0.0,0.0609,0.158,0.0071,0.139,0.361,91.997,4.0,81,spotify:track:6Nc2n959qhnnE8rpR1CWuC,0
Faijas (feat. Lucas),10s,"finnish dance pop, finnish hip hop, finnish pop",0.73,0.855,0.0,-3.547,1.0,0.0892,0.0563,0.0,0.151,0.767,98.007,4.0,28,spotify:track:7FTTSfZNFiPvL05ltm8UAr,20
Keep It Mello (feat. Omar LinX),10s,"brostep, edm, pop, progressive electro house",0.686,0.888,1.0,-3.348,1.0,0.0857,0.00134,0.000689,0.0736,0.108,142.015,4.0,84,spotify:track:0Q3SC6kEhxYagDP3bFe5K9,58
Tänään Lähdetään,90s,,0.751,0.895,0.0,-6.597,1.0,0.0319,0.136,3.27e-05,0.336,0.865,138.177,4.0,40,spotify:track:22vT4oQw05Un4sQprfAf1V,14
Nahkatakkinen tyttö,90s,"finnish new wave, iskelma, suomi rock",0.313,0.832,2.0,-5.532,1.0,0.0931,0.122,0.0,0.277,0.402,199.368,4.0,42,spotify:track:1y5tsdpLOnJnh3wUpib63h,25
Autiotalo,80s,"finnish new wave, iskelma, suomi rock",0.517,0.538,2.0,-7.866,1.0,0.0375,0.0899,0.0,0.0855,0.42,113.546,4.0,42,spotify:track:6gZiWkvxlNl6DSZkp58p4d,44
Kato mua silmiin,10s,"finnish dance pop, finnish hip hop, finnish pop, iskelma, suomi rock",0.816,0.602,7.0,-4.569,0.0,0.0508,0.0122,0.000123,0.127,0.524,120.046,4.0,40,spotify:track:1z0ereQI7jyUE13QCs6CSy,0
You Make Me Feel... (feat. Sabi),10s,"neon pop punk, pop punk, post-teen pop",0.668,0.857,7.0,-2.944,0.0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,4.0,57,spotify:track:5FeuH4LtGxDWkSkhRG47QT,58
Rakastuin mä looseriin,10s,"finnish dance pop, finnish pop, iskelma, suomi rock",0.604,0.755,0.0,-6.664,1.0,0.187,0.0325,0.295,0.324,0.567,188.866,4.0,37,spotify:track:34B7h0Yn3U1BkUhrWBL6GS,31
History,10s,"boy band, pop, post-teen pop, talent show",0.655,0.699,11.0,-4.421,1.0,0.0493,0.0352,0.0,0.064,0.802,86.704,4.0,84,spotify:track:0HMjXBAZmSYOTTi33WpMso,73
Never Be Like You,10s,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica",0.529,0.554,0.0,-5.427,1.0,0.0556,0.467,0.0,0.125,0.286,119.725,4.0,72,spotify:track:4ja3m5fYLcugwuXB6Jkh4Y,0
All of Me - Tiësto's Birthday Treatment Remix - Radio Edit,10s,"neo soul, pop, pop soul, urban contemporary",0.606,0.72,5.0,-6.253,0.0,0.0283,0.000149,0.00165,0.0745,0.178,127.985,4.0,76,spotify:track:1mzGywacjpeik00PVLBPpF,62
Sweet Nothing (feat. Florence Welch),10s,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",0.573,0.929,8.0,-3.942,0.0,0.109,0.197,0.000112,0.0567,0.582,127.934,4.0,86,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,74
Grow Up,10s,"dance pop, pop, talent show, uk pop",0.571,0.719,8.0,-3.914,1.0,0.0655,0.279,0.0,0.0891,0.511,167.339,4.0,65,spotify:track:5nJWME6j2dfFSm5B6ayDrw,0
Lumi Teki Enkelin Eteiseen - Vain Elämää Kausi 5,10s,"finnish dance pop, finnish hip hop, finnish pop",0.563,0.584,1.0,-8.778,0.0,0.247,0.157,0.0,0.335,0.281,172.13,4.0,51,spotify:track:0qQ2TDJ42jGaEHE5cJAuG5,43
Donald Trump,10s,"hip hop, pittsburgh rap, rap",0.636,0.901,1.0,-7.094,0.0,0.118,0.119,0.0,0.391,0.836,162.994,4.0,82,spotify:track:3uulVrxiI7iLTjOBZsaiF8,1
My Favorite Part,10s,"hip hop, pittsburgh rap, rap",0.861,0.33,6.0,-7.194,1.0,0.0526,0.627,1.93e-06,0.14,0.718,95.016,4.0,82,spotify:track:6UUSdhj9yqzVum2YDIs3KE,0
Nervous (The Ooh Song) - Mark McCabe Remix,10s,irish pop,0.432,0.874,7.0,-5.558,1.0,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,4.0,58,spotify:track:0L9lXMXddmoBbBUeF7A9An,46
There For Me,10s,swedish pop,0.752,0.711,8.0,-5.779,0.0,0.0617,0.239,6.5e-06,0.324,0.687,120.423,4.0,27,spotify:track:6tvUSjkuJeLdCcyc5k9mEu,0
Life Ain't Easy,10s,"hip hop, pittsburgh rap, rap",0.661,0.722,11.0,-5.735,0.0,0.0818,0.0366,0.0,0.302,0.691,94.507,4.0,82,spotify:track:7C1mp6UzyOrESLQCtNE6dO,0
Weekend (feat. Miguel),10s,"hip hop, pittsburgh rap, rap",0.843,0.435,8.0,-8.442,1.0,0.178,0.47,0.0,0.147,0.19,120.058,4.0,82,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,75
Diamonds & Gold,10s,"hip hop, pittsburgh rap, rap",0.438,0.793,5.0,-6.883,0.0,0.346,0.109,0.0,0.241,0.462,175.876,4.0,82,spotify:track:0Etjx0wbI3vCJAA054J5ZY,0
Jumpshot,10s,nyc pop,0.909,0.63,6.0,-3.9,0.0,0.0852,0.19,0.0,0.0291,0.803,97.027,4.0,49,spotify:track:4izP2KMwrhAdZEtIyp8Z8w,0
ROW,10s,swedish pop,0.612,0.719,7.0,-4.889,1.0,0.0296,0.326,7.31e-05,0.184,0.59,110.016,4.0,56,spotify:track:6vFx55KVZxkos6JiasUuro,0
1000 Nights,10s,"electropop, indie poptimism, la pop",0.594,0.709,6.0,-9.541,0.0,0.0377,0.0315,0.0562,0.0738,0.587,90.001,4.0,52,spotify:track:2mb32CDk3XusDc87vjeAoG,34
Don't Wanna Know,10s,pop,0.783,0.623,7.0,-6.126,1.0,0.08,0.338,0.0,0.0975,0.447,100.048,4.0,85,spotify:track:5MFzQMkrl1FOOng9tq6R9r,0
Higher Love,10s,danish pop,0.523,0.572,7.0,-7.196,0.0,0.0384,0.511,3.22e-06,0.128,0.22,112.833,4.0,40,spotify:track:1XcrVYh47expQrgm4cEToC,0
Numb / Encore,00s,"east coast hip hop, gangster rap, hip hop, pop rap, rap",0.685,0.803,2.0,-4.251,1.0,0.156,0.0601,0.0,0.546,0.799,107.005,4.0,84,spotify:track:7dyluIqv7QYVTXXZiMWPHW,67
Pass Out,10s,"dance pop, grime, pop rap",0.693,0.891,1.0,-3.261,1.0,0.296,0.0281,0.0,0.143,0.532,91.1,4.0,63,spotify:track:2i5gkqfLxlCM902kgZVb6v,55
Real Friends,10s,"chicago rap, hip hop, rap",0.462,0.748,6.0,-6.264,0.0,0.465,0.263,0.000482,0.138,0.132,170.862,4.0,94,spotify:track:4TsRQ0onK2Lmjw9TvomNJZ,0
Jump Out the Face (feat. Future),10s,"hip hop, philly rap, pop rap, rap, southern hip hop, trap",0.699,0.543,0.0,-8.879,1.0,0.138,0.0411,1.26e-06,0.178,0.14,130.064,4.0,74,spotify:track:17AS0y6FnHdYImAPUydAJg,56
We Dem Boyz,10s,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.717,0.862,8.0,-4.736,1.0,0.054,0.00689,0.0,0.321,0.52,130.021,4.0,81,spotify:track:1ULa3GfdMKs0MfRpm6xVlu,64
Gucci Snakes,10s,"hip hop, pop rap, rap, southern hip hop, trap",0.702,0.695,11.0,-7.365,0.0,0.257,0.0636,0.0,0.376,0.533,150.003,4.0,78,spotify:track:3S6Qk3eJctunBqcqC3jmcE,0
For Free,10s,"hip hop, miami hip hop, pop rap, rap",0.916,0.571,10.0,-8.241,0.0,0.2,0.0173,1.11e-06,0.153,0.498,103.521,4.0,75,spotify:track:0lDBERpbbSfh3og8dSszfj,0
Love Suicide (feat. Ester Dean),10s,"dance pop, grime, pop rap",0.753,0.816,7.0,-4.117,1.0,0.108,0.0424,0.0,0.174,0.614,89.997,4.0,63,spotify:track:6WVXYeXd1O0bCEKxaEh6Si,34
Trust Nobody,10s,"downtempo, electropop, shiver pop, vapor twitch",0.592,0.652,7.0,-7.209,0.0,0.164,0.451,0.0,0.117,0.726,78.488,5.0,54,spotify:track:2RlcBZiskvuupu6pG8bsNe,0
Kontti,10s,"finnish dance pop, finnish hip hop",0.915,0.779,7.0,-4.317,1.0,0.198,0.12,4.2e-06,0.0266,0.686,122.073,4.0,16,spotify:track:7pHc1wejOm6psbZFJzZZTD,31
Faija Käyttää Napapaitaa,10s,"finnish pop, iskelma, suomi rock",0.694,0.803,0.0,-4.28,1.0,0.0396,0.0409,0.0,0.218,0.422,124.937,4.0,47,spotify:track:4xVQYvQz9l0v8YavRiipFN,20
"Still Falling For You - From ""Bridget Jones's Baby""",10s,"indietronica, metropopolis, pop, uk pop",0.512,0.531,1.0,-8.03,1.0,0.0418,0.547,2.46e-06,0.102,0.19,96.058,4.0,79,spotify:track:638fKB27P7UAmu3Aq0vEJ3,0
Menee tunteisiin,10s,"finnish dance pop, finnish hip hop, finnish pop",0.585,0.867,11.0,-3.549,1.0,0.0548,0.338,0.0,0.0265,0.62,165.077,3.0,28,spotify:track:7xXO80FA9PJrMqGkZaDdwH,19
Dang! (feat. Anderson .Paak),10s,"hip hop, pittsburgh rap, rap",0.836,0.67,5.0,-6.907,0.0,0.23,0.00826,0.000355,0.0837,0.556,107.018,4.0,82,spotify:track:5iUQMwxUPdJBFeGkePtM66,72
All Around The World,10s,"hip hop, pittsburgh rap, rap",0.468,0.926,1.0,-4.19,1.0,0.208,0.00608,0.0,0.0749,0.404,150.775,4.0,82,spotify:track:5NFN8JxhS86lm8Pxj5aT6I,0
Love Myself,10s,pop,0.616,0.768,0.0,-6.714,0.0,0.0781,0.0032,0.0,0.427,0.322,122.91,4.0,68,spotify:track:0xCmwofyCiXdhoBsMSNj2w,0
Revolveri (Luokkakokous 2 - Polttarit),10s,"finnish dance pop, finnish hip hop, finnish pop, finnish trap",0.716,0.812,5.0,-4.579,0.0,0.0743,0.0494,0.0,0.212,0.513,124.121,4.0,55,spotify:track:2lxrLR1S6M4upQZbSOQKD4,32
Blue (Da Ba Dee) - Sound of Legend Version Edit,10s,,0.575,0.978,7.0,-1.81,0.0,0.0613,0.125,0.000347,0.118,0.212,128.013,4.0,56,spotify:track:3JUxU3KohteqkLk9BOpQ1c,0
Black Beatles,10s,"melodic rap, mississippi hip hop, pop rap, rap, trap",0.794,0.647,0.0,-6.232,1.0,0.0628,0.158,0.0,0.139,0.345,145.945,4.0,71,spotify:track:21xJVN5wEbJogczYxfZhqR,0
