Track Name,Album Release Decade,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Artist Popularity,Track URI,Track Popularity
Fall for You,20s,nyc pop,0.574,0.462,1.0,-7.928,1.0,0.0324,0.661,2.71e-05,0.0855,0.501,139.909,4.0,56,spotify:track:1tyxZ2buhi3Zn32j5LEpb5,62
the perfect pair,20s,"bedroom pop, bubblegrunge, indie pop, pov: indie",0.634,0.663,11.0,-6.818,1.0,0.0331,0.433,0.124,0.102,0.6,146.053,4.0,77,spotify:track:41P6Tnd8KIHqON0QIydx6a,79
Take Me To Church,10s,"irish singer-songwriter, modern rock, pov: indie",0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,4.0,87,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,0
Cooler Than Me - Single Mix,10s,"dance pop, pop, pop dance, pop rap",0.768,0.82,7.0,-4.63,0.0,0.0474,0.179,0.0,0.689,0.625,129.965,4.0,70,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,79
See You Again (feat. Kali Uchis),10s,"hip hop, rap",0.558,0.559,6.0,-9.222,1.0,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4.0,85,spotify:track:7KA4W4McWYRpgf0fWsJZWB,89
Pompeii,10s,"metropopolis, modern rock, pop",0.679,0.715,9.0,-6.383,1.0,0.0407,0.0755,0.0,0.271,0.571,127.435,4.0,76,spotify:track:3gbBpTdY8lnQwqxNCcf795,73
Hips Don't Lie (feat. Wyclef Jean),00s,"colombian pop, dance pop, latin pop, pop",0.778,0.824,10.0,-5.892,0.0,0.0707,0.284,0.0,0.405,0.758,100.024,4.0,87,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,87
Hall of Fame (feat. will.i.am),10s,"celtic rock, pop",0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786,4.0,74,spotify:track:7wMq5n8mYSKlQIGECKUgTX,83
Back Where I Belong (feat. Avicii),10s,"dutch house, edm, electro house, pop dance, progressive electro house",0.497,0.865,0.0,-3.19,1.0,0.0644,0.0306,0.0679,0.443,0.595,125.96,4.0,59,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,52
The Heart Wants What It Wants,10s,"pop, post-teen pop",0.616,0.789,7.0,-4.874,0.0,0.0377,0.053,0.0,0.142,0.621,83.066,4.0,82,spotify:track:2jcPoPin36hyNRSi4ZsqeB,0
Dynamite,10s,"dance pop, pop, pop rap",0.751,0.783,4.0,-3.724,1.0,0.0859,0.00379,0.0,0.036,0.816,119.975,4.0,70,spotify:track:2CEgGE6aESpnmtfiZwYlbV,76
Bumpy Ride,10s,,0.709,0.854,0.0,-4.447,0.0,0.0399,0.047,0.0,0.0724,0.826,105.074,4.0,57,spotify:track:0tBRo4P60DgKmg4jt48upm,0
Danza Kuduro (feat. Don Omar),10s,reggaeton,0.706,0.89,0.0,-6.575,1.0,0.0847,0.0855,0.0,0.0465,0.896,130.051,4.0,70,spotify:track:1kAZhbcsXqfUjnVeqPywn2,0
Syypää sun hymyyn (feat. Yasmine Yamajako),10s,"finnish dance pop, finnish hip hop, finnish pop",0.472,0.815,9.0,-4.002,0.0,0.319,0.171,0.0,0.265,0.81,98.017,4.0,54,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,48
Whistle,10s,"dance pop, miami hip hop, pop, pop rap",0.754,0.933,0.0,-5.786,1.0,0.0448,0.0199,0.0,0.297,0.75,103.992,4.0,80,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,56
Girlfriend,00s,"canadian pop, candy pop, dance pop, pop",0.56,0.959,7.0,-2.433,1.0,0.102,0.000738,0.000206,0.209,0.67,163.983,4.0,76,spotify:track:5HbCnVLXRyZVxnreOPgJCK,0
Baby,10s,"canadian pop, pop",0.463,0.854,8.0,-5.386,1.0,0.32,0.0428,0.0,0.0922,0.567,65.038,4.0,89,spotify:track:4NFhtFE68cXUrfbne8JE2c,0
I Cry,10s,"dance pop, miami hip hop, pop, pop rap",0.693,0.822,4.0,-5.441,0.0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,4.0,80,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,29
Coconut Tree,10s,,0.687,0.855,7.0,-5.341,0.0,0.0416,0.0486,0.0,0.233,0.647,130.029,4.0,57,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,0
One Less Lonely Girl,10s,"canadian pop, pop",0.58,0.75,4.0,-4.421,1.0,0.194,0.159,0.0,0.274,0.728,86.938,4.0,89,spotify:track:7qUcqYzOtfZe65bednDxmz,0
Romeo ja Julia (feat. Sophie),00s,"finnish dance pop, finnish hip hop, finnish pop",0.695,0.628,11.0,-6.498,0.0,0.0442,0.0539,0.0,0.32,0.529,144.114,4.0,38,spotify:track:0seHreoI3kwp38OlEgLLnT,35
Don't You Worry Child - Radio Edit,10s,"edm, pop dance, progressive electro house",0.608,0.828,2.0,-3.597,1.0,0.051,0.125,0.0,0.113,0.484,128.919,4.0,75,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,0
Can't Hold Us (feat. Ray Dalton),10s,"pop rap, seattle hip hop",0.641,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078,4.0,74,spotify:track:3bidbhpOYeV4knp8AIu8Xn,80
She Wolf (Falling to Pieces) [feat. Sia],10s,"big room, dance pop, edm, pop, pop dance",0.491,0.857,7.0,-2.634,1.0,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,4.0,88,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,50
Radioactive,10s,"modern rock, pop, rock",0.473,0.777,9.0,-3.698,1.0,0.059,0.119,7.87e-05,0.671,0.21,136.249,4.0,87,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,0
Whistle,10s,"dance pop, miami hip hop, pop, pop rap",0.747,0.937,0.0,-5.746,1.0,0.0453,0.0208,0.0,0.29,0.739,103.976,4.0,80,spotify:track:3bC1ahPIYt1btJzSSEyyrF,79
I Need Your Love (feat. Ellie Goulding),10s,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",0.695,0.869,8.0,-5.066,1.0,0.0483,0.41,0.0,0.237,0.58,124.989,4.0,86,spotify:track:05SBRd4fXgn8FX7bf8BCAE,73
Timber,10s,"dance pop, miami hip hop, pop",0.581,0.963,11.0,-4.087,1.0,0.0981,0.0295,0.0,0.139,0.788,129.992,4.0,84,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,85
Scream & Shout,10s,"dance pop, pop",0.772,0.685,5.0,-6.849,1.0,0.0696,0.019,8.96e-05,0.131,0.501,130.033,4.0,73,spotify:track:2iJuuzV8P9Yz0VSurttIV5,80
Wake Me Up - Radio Edit,10s,"dance pop, edm, pop, pop dance",0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.0,81,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,23
Thrift Shop (feat. Wanz),10s,"pop rap, seattle hip hop",0.781,0.526,6.0,-6.985,0.0,0.293,0.0619,0.0,0.0457,0.662,94.992,4.0,74,spotify:track:4YMqbFcDIFiCBd02PzUBcM,0
Play Hard (feat. Ne-Yo & Akon),10s,"big room, dance pop, edm, pop, pop dance",0.691,0.921,8.0,-1.702,0.0,0.0533,0.173,0.0,0.331,0.8,130.072,4.0,88,spotify:track:5YPMEOJ58kfl56VHxTgwx3,73
Superheroes,10s,"celtic rock, pop",0.49,0.885,3.0,-4.121,1.0,0.0396,0.00218,0.0,0.0741,0.64,166.996,4.0,74,spotify:track:37sINbJZcFdHFAsVNsPq1i,74
I Cry,10s,"dance pop, miami hip hop, pop, pop rap",0.693,0.822,4.0,-5.441,0.0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,4.0,80,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,60
Counting Stars,10s,"piano rock, pop",0.663,0.705,1.0,-4.972,0.0,0.0385,0.0654,0.0,0.117,0.477,122.014,4.0,83,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,61
Gangnam Style (강남스타일),10s,"k-rap, korean old school hip hop",0.727,0.938,11.0,-2.872,0.0,0.288,0.00432,0.0,0.0911,0.757,132.077,4.0,63,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,0
Feel This Moment (feat. Christina Aguilera),10s,"dance pop, miami hip hop, pop",0.668,0.758,7.0,-3.589,1.0,0.158,0.0338,0.0,0.204,0.531,135.958,4.0,84,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,53
Capsize,10s,"electropop, indie poptimism, la pop",0.681,0.708,5.0,-6.019,0.0,0.0304,0.042,0.14,0.682,0.356,92.993,4.0,52,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,0
Magical,10s,"big room, nordic house",0.504,0.912,1.0,-2.867,1.0,0.259,0.199,0.0,0.105,0.248,189.983,4.0,63,spotify:track:43lwHSTEexXRVVeXZtAtfi,33
Bleeding Love,00s,"british soul, dance pop, pop, talent show",0.635,0.647,5.0,-5.864,1.0,0.0366,0.192,0.0,0.154,0.201,104.058,4.0,65,spotify:track:6LtPIXlIzPOTF8vTecYjRe,65
Drop That Low (When I Dip),10s,"dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house",0.579,0.896,5.0,-4.132,0.0,0.373,0.00945,0.836,0.121,0.103,125.672,4.0,62,spotify:track:48kF7W23OIcVBsNY5UesuQ,0
Perfect Strangers,10s,"pop, pop dance, tropical house, uk dance",0.742,0.819,1.0,-5.307,1.0,0.0487,0.372,0.0,0.277,0.709,117.986,4.0,74,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,0
Thinking About You,10s,"edm, pop dance, progressive electro house",0.69,0.811,8.0,-5.475,1.0,0.058,0.044,0.0,0.205,0.521,122.001,4.0,66,spotify:track:3eBwnjEe60kDJAMlFg1ewf,0
