,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Popularity Cat
7536,0.443,0.976,-6.919,0.0585,0.0328,0.0,0.612,0.866,90.52,0
7537,0.496,0.94,-3.332,0.0373,0.289,0.0,0.251,0.95,158.967,0
7538,0.408,0.964,-1.914,0.0557,0.0242,0.00692,0.212,0.406,87.458,0
7539,0.183,0.945,-6.455,0.108,0.0242,0.0,0.0908,0.593,195.341,0
7540,0.415,0.781,-8.351,0.115,0.00478,1.21e-05,0.202,0.471,179.39,0
7541,0.478,0.32,-10.707,0.0285,0.833,0.000322,0.0977,0.153,65.819,0
7542,0.633,0.457,-12.248,0.0407,0.0821,0.0,0.421,0.926,116.627,0
7543,0.402,0.425,-8.69,0.0284,0.584,0.0,0.653,0.208,133.508,0
7544,0.285,0.365,-12.16,0.0278,0.645,0.0509,0.256,0.115,79.29,0
7545,0.522,0.811,-1.401,0.0317,0.0147,0.0,0.136,0.478,123.963,0
7546,0.402,0.409,-13.95,0.0363,0.128,0.000568,0.0947,0.489,130.681,0
7547,0.686,0.532,-11.871,0.0297,0.282,0.636,0.088,0.494,97.928,0
7548,0.575,0.946,-5.259,0.0394,0.000377,0.771,0.268,0.714,108.972,0
7549,0.664,0.497,-11.516,0.389,0.125,1.02e-05,0.104,0.658,146.314,0
7550,0.227,0.336,-11.885,0.0372,0.893,0.0,0.211,0.127,146.831,0
7551,0.727,0.139,-16.378,0.0545,0.511,1.05e-05,0.0564,0.526,130.498,0
7552,0.199,0.0247,-24.639,0.0485,0.944,0.986,0.0947,0.0365,65.821,0
7553,0.835,0.256,-11.48,0.0929,0.838,0.0,0.0476,0.907,81.723,0
7554,0.231,0.331,-14.171,0.0328,0.775,0.00794,0.107,0.543,83.767,0
7555,0.372,0.697,-8.393,0.037,0.231,0.026,0.143,0.895,146.432,0
7556,0.532,0.172,-13.237,0.0409,0.945,3.16e-05,0.116,0.471,147.239,0
7557,0.644,0.628,-10.615,0.0382,0.381,0.928,0.0984,0.0788,130.045,0
7558,0.538,0.203,-9.78,0.0492,0.936,0.0,0.11,0.444,137.47,0
7559,0.423,0.329,-13.352,0.0275,0.0643,0.12,0.21,0.179,134.908,0
7560,0.251,0.883,-2.973,0.154,0.0489,0.0,0.504,0.45,79.207,0
7561,0.171,0.158,-14.914,0.0421,0.94,0.782,0.0782,0.158,90.152,0
7562,0.401,0.307,-14.729,0.0301,0.204,0.23,0.129,0.525,81.98,0
7563,0.302,0.664,-8.048,0.068,0.618,0.604,0.0899,0.0608,118.681,0
7564,0.451,0.59,-6.169,0.0859,0.0293,3.87e-06,0.313,0.0867,183.961,0
7565,0.39,0.879,-6.467,0.0348,0.000275,0.0,0.316,0.414,173.02,0
7566,0.343,0.163,-16.789,0.0549,0.985,0.0218,0.111,0.143,98.296,0
7567,0.466,0.792,-7.99,0.0604,0.441,1.43e-05,0.877,0.721,103.527,0
7568,0.817,0.544,-12.034,0.0638,0.775,0.0,0.061,0.953,119.668,0
7569,0.364,0.187,-20.652,0.0359,0.989,0.884,0.119,0.143,109.887,0
7570,0.631,0.704,-6.635,0.366,0.439,0.0,0.818,0.772,169.986,0
7571,0.357,0.38,-9.725,0.0276,0.357,0.0,0.5,0.176,73.947,0
7572,0.198,0.826,-7.191,0.0831,0.00687,9.93e-05,0.84,0.156,82.542,0
7573,0.779,0.295,-13.212,0.0425,0.905,0.000236,0.102,0.61,104.471,0
7574,0.285,0.318,-11.599,0.0301,0.364,0.0,0.105,0.0838,77.803,0
7575,0.464,0.932,-5.561,0.0695,0.00406,0.681,0.278,0.223,173.992,0
7576,0.634,0.512,-9.992,0.117,0.0925,0.767,0.208,0.271,93.96,0
7577,0.801,0.509,-11.12,0.0701,0.305,0.765,0.117,0.404,88.998,0
7578,0.419,0.198,-16.524,0.0277,0.699,0.00127,0.0852,0.38,93.484,0
7579,0.277,0.216,-10.87,0.0309,0.942,0.00828,0.117,0.106,76.469,0
7580,0.242,0.312,-10.82,0.0288,0.619,1.4e-06,0.109,0.146,80.977,0
7581,0.168,0.252,-11.726,0.0338,0.913,0.787,0.233,0.0372,138.217,0
7582,0.51,0.766,-10.519,0.091,5.9e-06,0.102,0.135,0.392,118.854,0
7583,0.312,0.224,-10.893,0.0322,0.73,0.0,0.113,0.145,122.272,0
7584,0.8,0.276,-15.301,0.091,0.375,0.0,0.0699,0.0766,115.019,0
7585,0.116,0.0804,-22.881,0.0433,0.961,0.795,0.118,0.0353,87.925,0
7586,0.788,0.469,-13.266,0.0818,0.0121,0.268,0.0662,0.456,80.719,0
7587,0.612,0.939,-2.427,0.0689,0.0142,8.59e-05,0.118,0.694,149.007,0
7588,0.754,0.581,-8.372,0.218,0.192,2.71e-06,0.0879,0.705,178.08,0
7589,0.687,0.0482,-15.234,0.0632,0.953,0.0,0.202,0.574,125.441,0
7590,0.311,0.119,-13.363,0.0425,0.895,0.000397,0.201,0.149,80.917,0
7591,0.578,0.376,-15.413,0.0436,0.873,0.0131,0.0787,0.726,82.208,0
7592,0.33,0.605,-8.416,0.119,0.000804,0.79,0.116,0.525,97.985,0
7593,0.428,0.583,-6.594,0.0323,0.0281,4.06e-06,0.971,0.174,140.658,0
7594,0.641,0.789,-12.803,0.154,0.127,0.000218,0.139,0.548,107.672,0
7595,0.351,0.563,-9.401,0.038,0.498,0.000647,0.133,0.274,102.468,0
7596,0.737,0.514,-13.0,0.0817,0.542,0.0,0.0429,0.915,126.112,0
7597,0.299,0.404,-10.474,0.0298,0.192,0.696,0.131,0.0914,179.908,0
7598,0.193,0.557,-7.725,0.0355,0.123,4.6e-06,0.127,0.176,159.018,0
7599,0.639,0.694,-10.084,0.0487,0.027,0.0,0.141,0.623,102.699,0
7600,0.822,0.599,-11.927,0.0327,0.092,2.66e-05,0.144,0.971,127.715,0
7601,0.789,0.529,-8.891,0.225,0.0855,0.000129,0.0453,0.825,172.501,0
7602,0.476,0.198,-15.753,0.0296,0.478,0.0242,0.0757,0.234,99.168,0
7603,0.579,0.8,-12.604,0.0414,0.000266,0.000239,0.0655,0.725,125.922,0
7604,0.268,0.254,-15.976,0.036,0.971,0.00565,0.12,0.195,89.171,0
7605,0.518,0.719,-6.423,0.0517,0.0558,0.0599,0.114,0.228,189.984,0
7606,0.513,0.921,-7.19,0.165,0.0288,7.14e-06,0.773,0.743,106.034,0
7607,0.531,0.462,-14.549,0.0301,0.663,0.0247,0.182,0.572,101.007,0
7608,0.69,0.603,-14.367,0.0493,0.237,0.00501,0.129,0.246,120.335,0
7609,0.517,0.771,-3.899,0.0384,0.146,1.97e-06,0.111,0.85,148.78,0
7610,0.376,0.375,-11.344,0.037,0.851,0.0,0.103,0.311,179.732,0
7611,0.59,0.332,-12.132,0.0649,0.85,0.00489,0.116,0.606,75.024,0
7612,0.477,0.678,-6.772,0.0276,0.471,0.0,0.741,0.717,98.154,0
7613,0.746,0.617,-9.42,0.0371,0.018,0.771,0.33,0.677,105.048,0
7614,0.477,0.445,-13.384,0.0374,0.915,0.925,0.226,0.314,77.877,0
7615,0.332,0.96,-2.291,0.183,0.0202,0.0,0.123,0.606,87.411,0
7616,0.943,0.377,-12.199,0.137,0.0761,0.0,0.0473,0.746,129.046,0
7617,0.712,0.422,-10.121,0.113,0.696,0.944,0.0852,0.104,81.968,0
7618,0.499,0.725,-3.25,0.327,0.662,0.0,0.239,0.315,103.366,0
7619,0.879,0.395,-10.991,0.275,0.409,0.0,0.0821,0.649,104.894,0
7620,0.568,0.657,-9.451,0.0397,0.511,0.709,0.0867,0.408,79.066,0
7621,0.426,0.954,-5.841,0.179,0.0185,0.000185,0.775,0.302,140.889,0
7622,0.223,0.365,-10.265,0.0337,0.278,0.424,0.142,0.0365,124.304,0
7623,0.491,0.154,-13.706,0.0839,0.916,0.0,0.163,0.36,95.261,0
7624,0.725,0.57,-4.06,0.106,0.723,0.0,0.085,0.238,146.233,0
7625,0.55,0.98,-3.847,0.0554,0.000843,0.742,0.127,0.486,141.99,0
7626,0.518,0.365,-12.742,0.0362,0.369,0.0139,0.0857,0.887,107.67,0
7627,0.53,0.759,-6.678,0.0284,0.527,0.000119,0.188,0.783,155.531,0
7628,0.67,0.599,-7.999,0.0314,0.284,0.849,0.0903,0.638,97.978,0
7629,0.379,0.957,-2.354,0.0495,0.00127,0.0,0.408,0.833,169.064,0
7630,0.589,0.467,-8.179,0.031,0.761,0.0,0.0847,0.571,165.908,0
7631,0.511,0.816,-6.358,0.048,0.114,9.93e-05,0.966,0.531,96.705,0
7632,0.552,0.706,-8.117,0.363,0.484,6.49e-05,0.074,0.721,167.468,0
7633,0.497,0.529,-8.54,0.119,0.433,0.937,0.116,0.309,88.789,0
7634,0.512,0.882,-6.296,0.0945,0.00657,0.891,0.111,0.138,124.722,0
7635,0.641,0.695,-4.572,0.0397,0.0798,0.63,0.185,0.724,169.985,0
7636,0.6,0.622,-12.874,0.0352,0.25,0.0,0.0891,0.965,155.91,0
7637,0.677,0.748,-12.328,0.038,0.00701,3.99e-05,0.093,0.746,146.03,0
7638,0.422,0.307,-14.361,0.0309,0.238,0.848,0.0943,0.0449,139.986,0
7639,0.846,0.895,-8.359,0.0965,0.000609,0.861,0.484,0.561,126.015,0
7640,0.593,0.529,-12.02,0.0353,0.421,0.00202,0.0752,0.532,156.441,0
7641,0.724,0.966,-2.934,0.249,0.0112,0.164,0.369,0.51,77.501,0
7642,0.725,0.742,-6.867,0.352,0.575,0.00037,0.107,0.886,72.985,0
7643,0.238,0.932,-5.809,0.0912,0.00326,0.298,0.114,0.186,150.899,0
7644,0.872,0.591,-8.675,0.208,0.0159,0.807,0.253,0.431,140.057,0
7645,0.463,0.429,-11.99,0.0679,0.648,0.0556,0.146,0.888,142.714,0
7646,0.336,0.615,-7.145,0.0309,0.403,0.0,0.687,0.0854,82.967,0
7647,0.199,0.331,-9.265,0.0303,0.822,0.000695,0.0891,0.113,180.003,0
7648,0.626,0.611,-11.679,0.228,0.0355,0.0,0.216,0.685,147.98,0
7649,0.499,0.436,-13.248,0.0302,0.305,0.915,0.167,0.0493,86.003,0
7650,0.62,0.786,-8.114,0.0509,0.53,1.02e-06,0.348,0.923,131.447,0
7651,0.556,0.636,-7.119,0.033,0.0892,0.0,0.051,0.864,200.109,0
7652,0.611,0.471,-13.272,0.125,0.446,0.312,0.136,0.43,128.018,0
7653,0.635,0.266,-12.543,0.0407,0.803,0.0,0.0618,0.862,152.508,0
7654,0.711,0.4,-15.703,0.0378,0.204,0.0,0.24,0.623,115.516,0
7655,0.381,0.905,-5.05,0.0676,0.000107,0.43,0.211,0.396,142.545,0
7656,0.555,0.62,-5.822,0.118,0.0891,0.00306,0.107,0.371,193.924,0
7657,0.68,0.479,-9.211,0.0509,0.0255,0.619,0.0887,0.205,106.979,0
7658,0.257,0.109,-22.522,0.0374,0.986,0.936,0.137,0.128,75.266,0
7659,0.263,0.19,-18.263,0.0332,0.972,0.872,0.101,0.185,79.417,0
7660,0.511,0.326,-14.6,0.0303,0.722,0.0,0.184,0.591,121.182,0
7661,0.709,0.441,-12.168,0.0706,0.671,5.08e-06,0.0891,0.493,134.31,0
7662,0.673,0.339,-13.01,0.0303,0.821,0.0123,0.104,0.591,108.908,0
7663,0.385,0.671,-8.193,0.117,0.215,8.1e-06,0.11,0.624,164.981,0
7664,0.574,0.228,-14.711,0.0357,0.917,7.44e-05,0.704,0.327,120.022,0
7665,0.471,0.507,-5.972,0.0256,0.317,0.0,0.364,0.189,72.108,0
7666,0.598,0.191,-13.68,0.0587,0.996,0.00193,0.254,0.655,108.122,0
7667,0.55,0.574,-7.427,0.0341,0.0189,0.568,0.109,0.346,122.579,0
7668,0.821,0.841,-5.426,0.0496,0.0409,0.859,0.0746,0.331,114.994,0
7669,0.521,0.664,-6.622,0.0933,0.0552,0.000343,0.956,0.55,149.914,0
7670,0.51,0.892,-8.376,0.0476,0.00184,0.87,0.163,0.777,145.006,0
7671,0.417,0.656,-9.986,0.0328,0.88,0.321,0.206,0.824,161.6,0
7672,0.633,0.886,-7.113,0.0933,0.0535,0.0,0.0969,0.96,174.891,0
7673,0.761,0.416,-9.651,0.0589,0.316,0.832,0.101,0.0825,92.99,0
7674,0.341,0.448,-10.111,0.028,0.0188,0.0868,0.0987,0.0401,79.202,0
7675,0.881,0.317,-15.291,0.075,0.105,0.000192,0.315,0.95,144.059,0
7676,0.61,0.833,-7.123,0.0506,0.0866,8.9e-06,0.0563,0.794,185.809,0
7677,0.365,0.955,-3.92,0.209,0.0214,0.0,0.775,0.458,91.612,0
7678,0.809,0.367,-11.838,0.0876,0.622,0.0125,0.465,0.601,79.32,0
7679,0.572,0.484,-9.444,0.0358,0.567,0.299,0.12,0.823,167.333,0
7680,0.678,0.367,-10.0,0.0558,0.868,0.0,0.154,0.508,154.09,0
7681,0.809,0.549,-8.427,0.0454,0.00706,0.909,0.141,0.229,88.994,0
7682,0.472,0.954,-1.867,0.041,0.00951,0.000157,0.326,0.4,134.069,0
7683,0.5,0.309,-5.651,0.043,0.906,0.0331,0.111,0.112,89.996,0
7684,0.728,0.668,-12.683,0.0476,0.164,1.27e-06,0.14,0.701,107.993,0
7685,0.355,0.214,-14.741,0.0432,0.988,3.81e-06,0.0754,0.297,64.589,0
7686,0.643,0.575,-11.61,0.0367,0.589,0.298,0.0931,0.693,78.457,0
7687,0.819,0.493,-5.928,0.0904,0.736,4.84e-06,0.0644,0.881,101.226,0
7688,0.56,0.422,-11.285,0.0534,0.123,0.0,0.361,0.147,170.075,0
7689,0.736,0.41,-9.442,0.0996,0.0142,0.544,0.117,0.386,75.683,0
7690,0.574,0.593,-9.942,0.375,0.0303,0.157,0.369,0.392,176.243,0
7691,0.551,0.144,-14.911,0.0305,0.729,1.57e-05,0.143,0.453,112.134,0
7692,0.792,0.925,-4.813,0.0452,0.00142,0.763,0.259,0.788,124.017,0
7693,0.606,0.533,-7.826,0.0968,0.206,0.358,0.327,0.694,174.74,0
7694,0.388,0.301,-17.959,0.186,0.973,0.221,0.0692,0.402,77.175,0
7695,0.639,0.492,-13.2,0.121,0.278,0.0,0.111,0.473,119.925,0
7696,0.654,0.56,-9.2,0.173,0.628,0.0,0.124,0.6,155.119,0
7697,0.669,0.408,-14.476,0.0396,0.62,0.0174,0.105,0.459,101.379,0
7698,0.505,0.451,-10.193,0.0329,0.727,0.0,0.233,0.744,74.347,0
7699,0.593,0.635,-11.474,0.431,0.0643,0.0,0.0261,0.786,133.137,0
7700,0.597,0.533,-8.496,0.191,0.591,0.0,0.468,0.739,120.593,0
7701,0.516,0.358,-8.865,0.053,0.776,0.114,0.102,0.671,152.891,0
7702,0.694,0.395,-14.453,0.0668,0.646,0.0,0.0718,0.517,99.951,0
7703,0.747,0.29,-14.151,0.106,0.619,1.57e-05,0.117,0.881,124.483,0
7704,0.375,0.658,-7.601,0.0331,0.0232,0.802,0.0958,0.506,148.051,0
7705,0.616,0.446,-9.269,0.0326,0.73,1.51e-05,0.118,0.127,71.98,0
7706,0.533,0.671,-8.066,0.0303,0.354,0.0,0.0702,0.887,178.101,0
7707,0.535,0.282,-10.923,0.0253,0.0339,1.1e-05,0.0696,0.1,77.971,0
7708,0.639,0.618,-7.233,0.0262,0.462,0.928,0.0593,0.537,108.038,0
7709,0.497,0.944,-3.31,0.103,0.597,0.119,0.0376,0.511,122.582,0
7710,0.582,0.217,-16.233,0.0547,0.982,0.841,0.107,0.0777,180.004,0
7711,0.309,0.52,-5.595,0.0377,0.672,0.0,0.165,0.297,179.481,0
7712,0.622,0.752,-8.415,0.0278,0.133,0.939,0.0477,0.868,126.02,0
7713,0.553,0.391,-12.303,0.0315,0.933,0.00123,0.0993,0.242,105.989,0
7714,0.698,0.59,-5.572,0.0717,0.234,7.9e-06,0.0601,0.113,69.978,0
7715,0.334,0.546,-7.209,0.0642,0.742,0.0413,0.167,0.582,184.803,0
7716,0.394,0.983,-3.246,0.0893,1.81e-05,3.67e-05,0.135,0.384,83.472,0
7717,0.666,0.696,-13.459,0.0367,0.03,0.114,0.0659,0.844,118.791,0
7718,0.744,0.397,-14.375,0.0538,0.0331,0.122,0.0741,0.551,96.04,0
7719,0.837,0.472,-11.45,0.0733,0.0234,0.00531,0.108,0.369,98.964,0
7720,0.599,0.783,-9.24,0.0998,0.601,0.000388,0.103,0.808,165.814,0
7721,0.377,0.487,-4.445,0.0371,0.764,0.0,0.358,0.469,91.82,0
7722,0.777,0.281,-9.672,0.0593,0.792,0.86,0.102,0.655,82.026,0
7723,0.582,0.79,-12.827,0.0487,4.12e-05,0.00114,0.149,0.545,91.472,0
7724,0.556,0.373,-10.863,0.48,0.313,0.0,0.272,0.487,111.164,0
7725,0.569,0.656,-6.633,0.0362,0.00903,0.65,0.106,0.608,87.964,0
7726,0.532,0.195,-15.761,0.0391,0.956,0.00112,0.119,0.473,128.423,0
7727,0.625,0.364,-13.76,0.0256,0.321,1.75e-06,0.111,0.273,104.85,0
7728,0.695,0.589,-11.228,0.0471,0.372,0.00134,0.0657,0.79,92.545,0
7729,0.397,0.132,-15.372,0.0383,0.971,0.919,0.0769,0.103,85.207,0
7730,0.475,0.751,-5.979,0.033,0.156,0.487,0.0941,0.116,86.962,0
7731,0.334,0.303,-10.665,0.0287,0.96,0.663,0.084,0.19,81.185,0
7732,0.708,0.426,-12.825,0.0287,0.631,1.45e-06,0.0993,0.736,114.493,0
7733,0.764,0.704,-11.671,0.0986,0.451,1.46e-06,0.0448,0.971,132.003,0
7734,0.47,0.482,-9.366,0.0311,0.684,0.835,0.0918,0.187,100.39,0
7735,0.614,0.786,-7.742,0.0312,0.483,0.697,0.137,0.724,139.975,0
7736,0.69,0.354,-11.191,0.176,0.275,0.0,0.0466,0.405,169.869,0
7737,0.708,0.5,-7.221,0.765,0.172,0.0,0.0988,0.538,110.917,0
7738,0.421,0.391,-9.78,0.102,0.641,3.82e-06,0.225,0.206,66.371,0
7739,0.706,0.52,-7.496,0.029,0.566,0.857,0.158,0.354,108.994,0
7740,0.552,0.95,-5.205,0.0451,0.0371,1.17e-05,0.833,0.443,112.712,0
7741,0.263,0.674,-6.181,0.0412,0.762,0.0,0.175,0.457,158.422,0
7742,0.26,0.524,-8.417,0.115,0.88,0.161,0.122,0.114,174.164,0
7743,0.549,0.32,-12.854,0.0344,0.433,0.38,0.144,0.117,131.009,0
7744,0.454,0.301,-11.557,0.0346,0.83,1.73e-06,0.0868,0.536,163.832,0
7745,0.577,0.587,-7.608,0.394,0.809,0.0,0.227,0.661,119.017,0
7746,0.735,0.274,-13.714,0.0391,0.915,0.289,0.115,0.428,113.901,0
7747,0.7,0.248,-13.922,0.104,0.4,0.00513,0.121,0.53,103.671,0
7748,0.3,0.175,-16.793,0.0418,0.733,0.0,0.0664,0.201,140.212,0
7749,0.677,0.645,-8.141,0.0689,0.507,0.000292,0.686,0.778,75.534,0
7750,0.497,0.473,-9.488,0.031,0.109,0.927,0.306,0.0395,124.788,0
7751,0.579,0.111,-15.686,0.0488,0.986,0.000372,0.0969,0.506,106.561,0
7752,0.556,0.474,-13.656,0.0454,0.383,2.65e-05,0.21,0.508,138.362,0
7753,0.613,0.86,-11.27,0.0412,0.144,0.313,0.112,0.698,127.489,0
7754,0.195,0.883,-7.082,0.0631,8.71e-05,1.58e-05,0.36,0.33,158.219,0
7755,0.15,0.254,-10.446,0.0366,0.832,6.53e-05,0.639,0.0378,75.32,0
7756,0.486,0.803,-6.157,0.0363,7.89e-05,0.854,0.222,0.253,105.904,0
7757,0.368,0.382,-13.974,0.0983,0.982,0.0105,0.324,0.274,106.018,0
7758,0.776,0.3,-11.588,0.0514,0.0516,0.000706,0.0836,0.872,91.987,0
7759,0.468,0.242,-12.979,0.0291,0.132,0.0,0.0782,0.384,147.864,0
7760,0.222,0.34,-10.771,0.0327,0.539,0.36,0.168,0.0756,114.25,0
