,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Popularity Cat
0,0.332,0.423,-12.102,0.0384,0.261,0.00014,0.0716,0.519,236.799,0
1,0.397,0.286,-15.948,0.447,0.984,4.59e-05,0.106,0.0656,230.512,0
2,0.357,0.129,-10.855,0.0854,0.98,3.64e-06,0.0975,0.191,232.602,0
3,0.22,0.102,-22.205,0.043,0.869,0.965,0.103,0.0337,33.593,0
4,0.16,0.0744,-22.592,0.0408,0.933,0.761,0.0785,0.0761,35.341,0
5,0.189,0.16,-19.862,0.0427,0.927,0.421,0.111,0.0749,31.988,0
6,0.379,0.0497,-19.111,0.0392,0.978,0.268,0.0667,0.159,32.08,0
7,0.377,0.177,-19.727,0.0541,0.983,0.0,0.559,0.198,34.151,0
8,0.0757,0.0269,-35.299,0.0503,0.951,0.859,0.104,0.0366,182.191,0
9,0.107,0.0305,-30.122,0.0458,0.991,0.856,0.107,0.0423,211.243,0
10,0.391,0.00586,-40.869,0.0367,0.976,0.0158,0.115,0.328,113.168,0
11,0.352,0.0472,-28.284,0.05,0.986,0.934,0.128,0.252,201.249,0
12,0.626,0.624,-14.043,0.82,0.833,8.7e-06,0.909,0.284,32.451,0
13,0.456,0.00811,-40.576,0.0618,0.995,0.938,0.0571,0.354,113.532,0
14,0.252,0.0282,-35.083,0.0432,0.994,0.95,0.235,0.395,179.196,0
15,0.167,0.168,-20.745,0.0561,0.951,0.979,0.11,0.0816,210.805,0
16,0.42,0.000968,-42.691,0.0506,0.992,0.938,0.094,0.127,84.873,0
17,0.211,0.018,-28.088,0.0466,0.992,0.916,0.104,0.0678,202.511,0
18,0.118,0.0231,-31.51,0.039,0.963,0.943,0.107,0.0638,51.166,0
19,0.435,0.081,-31.776,0.0601,0.978,0.757,0.154,0.365,181.915,0
20,0.191,0.0017,-40.704,0.0488,0.816,0.0937,0.0988,0.0508,115.699,0
21,0.0812,0.00418,-39.071,0.0552,0.978,0.895,0.0943,0.0481,172.574,0
22,0.21,0.00752,-35.524,0.0432,0.993,0.858,0.115,0.0567,142.495,0
23,0.0615,0.00941,-30.214,0.046,0.799,0.826,0.0857,0.0398,47.511,0
24,0.225,0.0167,-30.761,0.0465,0.935,0.89,0.104,0.0466,51.144,0
25,0.398,0.0875,-22.926,0.0456,0.768,0.0,0.0789,0.418,205.614,0
26,0.41,0.102,-19.717,0.0437,0.989,0.0653,0.27,0.331,207.867,0
27,0.22,0.0479,-27.601,0.036,0.794,0.921,0.112,0.036,46.79,0
28,0.498,0.0628,-23.469,0.0511,0.972,0.929,0.094,0.0515,206.067,0
29,0.15,0.0259,-31.442,0.0459,0.921,0.959,0.108,0.223,157.334,0
30,0.246,0.0251,-29.797,0.0462,0.853,0.867,0.105,0.0317,50.498,0
31,0.131,0.03,-34.918,0.0469,0.974,0.971,0.056,0.0349,173.951,0
32,0.246,0.192,-21.564,0.0416,0.776,0.962,0.164,0.0356,46.03,0
33,0.484,0.0111,-36.334,0.0384,0.995,0.878,0.0556,0.2,121.708,0
34,0.175,0.0825,-31.241,0.0546,0.994,0.923,0.0918,0.154,157.776,0
35,0.0614,0.0317,-28.621,0.0415,0.952,0.573,0.118,0.0328,48.965,0
36,0.25,0.0217,-35.88,0.0538,0.993,0.874,0.0635,0.335,126.285,0
37,0.269,0.0488,-35.39,0.0464,0.985,0.906,0.103,0.123,125.793,0
38,0.276,0.345,-21.226,0.0557,0.843,0.888,0.0781,0.0567,207.212,0
39,0.333,0.00104,-41.129,0.0663,0.988,0.629,0.0589,0.0476,80.257,0
40,0.529,0.0086,-39.136,0.0487,0.973,0.0737,0.113,0.44,116.607,0
41,0.0739,0.0279,-32.005,0.0505,0.994,0.957,0.0931,0.0483,206.329,0
42,0.519,0.261,-21.53,0.909,0.714,0.0,0.467,0.394,46.818,0
43,0.252,0.00853,-35.556,0.0625,0.996,0.933,0.0935,0.0826,126.525,0
44,0.192,0.0093,-28.276,0.0393,0.981,0.838,0.103,0.0835,180.043,0
45,0.122,0.0161,-33.108,0.0476,0.952,0.934,0.0958,0.0362,148.561,0
46,0.0819,0.0448,-36.758,0.0384,0.995,0.938,0.0693,0.255,173.327,0
47,0.422,0.262,-22.221,0.61,0.896,0.000144,0.685,0.412,47.398,0
48,0.286,0.00451,-35.607,0.0386,0.992,0.969,0.125,0.0541,135.483,0
49,0.584,0.0259,-33.65,0.0424,0.802,0.871,0.0975,0.0398,119.983,0
50,0.367,0.00271,-35.563,0.0429,0.995,0.912,0.0816,0.0681,135.16,0
51,0.152,0.246,-30.209,0.0887,0.87,0.909,0.111,0.0382,158.094,0
52,0.0785,0.0822,-27.857,0.0337,0.954,0.857,0.11,0.218,179.913,0
53,0.141,0.0157,-33.886,0.0396,0.984,0.892,0.111,0.0324,141.339,0
54,0.153,0.128,-18.35,0.0428,0.939,0.94,0.121,0.0326,47.394,0
55,0.615,0.948,-5.368,0.892,0.755,0.0,0.804,0.385,45.084,0
56,0.165,0.00358,-34.939,0.0434,0.939,2.77e-05,0.0474,0.0343,170.251,0
57,0.72,0.667,-9.034,0.915,0.892,0.0,0.718,0.542,43.903,0
58,0.124,0.0194,-32.62,0.0451,0.993,0.661,0.161,0.0361,149.166,0
59,0.381,0.0542,-28.454,0.0493,0.974,0.811,0.134,0.266,154.678,0
60,0.247,0.338,-8.174,0.03,0.73,0.0,0.0874,0.211,42.866,0
61,0.203,0.00156,-36.514,0.0427,0.996,0.891,0.0854,0.0589,172.476,0
62,0.257,0.00364,-38.117,0.0401,0.86,0.254,0.0889,0.211,117.479,0
63,0.306,0.95,-2.057,0.149,0.157,1.33e-06,0.239,0.75,216.029,0
64,0.172,0.0163,-32.589,0.0553,0.97,0.654,0.0732,0.0375,119.276,0
65,0.0624,0.187,-17.515,0.0466,0.953,0.86,0.0952,0.0274,47.487,0
66,0.408,0.0242,-32.865,0.0403,0.992,0.895,0.0639,0.304,118.674,0
67,0.331,0.0631,-27.509,0.0404,0.993,0.84,0.0969,0.0805,183.759,0
68,0.14,0.0155,-33.432,0.0671,0.858,0.848,0.112,0.0326,140.301,0
69,0.496,0.00415,-38.033,0.0532,0.994,0.951,0.146,0.237,117.716,0
70,0.568,0.014,-30.515,0.0342,0.99,0.806,0.107,0.363,146.75,0
71,0.441,0.0469,-25.481,0.104,0.967,1.43e-05,0.126,0.5,184.158,0
72,0.112,0.358,-13.927,0.0325,0.951,0.858,0.111,0.0984,45.803,0
73,0.392,0.101,-26.915,0.0437,0.996,0.982,0.0604,0.22,180.052,0
74,0.476,0.138,-29.153,0.0352,0.363,0.931,0.108,0.0409,156.412,0
75,0.649,0.911,-4.503,0.179,0.0015,1.68e-05,0.0699,0.936,220.041,0
76,0.541,0.105,-24.243,0.161,0.89,0.947,0.193,0.631,181.643,0
77,0.225,0.104,-34.857,0.0501,0.974,0.0358,0.14,0.0323,99.735,0
78,0.277,0.0651,-23.515,0.0833,0.977,0.0,0.115,0.133,182.117,0
79,0.421,0.00391,-34.993,0.0688,0.994,0.966,0.162,0.177,135.028,0
80,0.153,0.00905,-30.099,0.0372,0.971,0.607,0.107,0.073,164.191,0
81,0.212,0.0105,-39.909,0.044,0.737,0.376,0.0687,0.142,81.784,0
82,0.428,0.647,-6.054,0.314,0.399,0.0,0.84,0.644,47.664,0
83,0.135,0.0189,-36.113,0.0413,0.821,0.912,0.124,0.0377,99.621,0
84,0.335,0.979,1.949,0.0759,0.00217,0.897,0.0988,0.0376,121.296,0
85,0.55,0.0548,-30.269,0.0549,0.902,0.895,0.106,0.265,164.282,0
86,0.763,0.65,-6.448,0.808,0.819,0.0,0.726,0.884,44.506,0
87,0.5,0.394,-15.38,0.115,0.835,0.0048,0.114,0.386,192.011,0
88,0.588,0.000792,-32.5,0.072,0.984,0.23,0.0667,0.439,116.264,0
89,0.616,0.206,-8.921,0.0413,0.934,4.63e-06,0.0812,0.497,44.194,0
90,0.299,0.122,-31.465,0.0314,0.979,0.891,0.202,0.646,140.84,0
91,0.126,0.00934,-36.899,0.0582,0.936,1.15e-06,0.208,0.0493,166.58,0
92,0.56,0.91,-10.263,0.676,0.485,0.0,0.868,0.53,51.961,0
93,0.339,0.0627,-21.887,0.0368,0.956,0.671,0.124,0.401,156.037,0
94,0.606,0.357,-22.287,0.0525,0.0536,0.751,0.305,0.435,155.997,0
95,0.376,0.137,-16.8,0.04,0.834,1.04e-06,0.0881,0.0768,46.916,0
96,0.372,0.0556,-25.647,0.041,0.973,0.862,0.11,0.0788,183.835,0
97,0.231,0.0204,-30.956,0.0406,0.986,0.941,0.058,0.0348,62.144,0
98,0.308,0.256,-15.621,0.0319,0.944,0.931,0.615,0.254,49.074,0
99,0.298,0.0265,-29.527,0.0385,0.995,0.911,0.0984,0.227,147.334,0
100,0.0835,0.0262,-29.945,0.0379,0.958,0.911,0.11,0.0399,170.565,0
101,0.143,0.0278,-34.939,0.042,0.957,0.738,0.114,0.0873,99.007,0
102,0.0854,0.0191,-29.448,0.0386,0.936,0.365,0.192,0.0586,168.943,0
103,0.179,0.0834,-22.504,0.0453,0.912,0.839,0.113,0.123,182.787,0
104,0.522,0.829,-6.413,0.743,0.68,0.0,0.678,0.19,48.438,0
105,0.542,0.62,-15.192,0.221,0.0529,5.59e-05,0.038,0.618,191.976,0
106,0.0965,0.172,-16.777,0.0366,0.401,0.889,0.0914,0.0341,53.508,0
107,0.183,0.0133,-29.949,0.0386,0.7,0.935,0.0919,0.0286,145.908,0
108,0.366,0.116,-18.619,0.0434,0.455,0.745,0.145,0.224,202.564,0
109,0.442,0.391,-22.319,0.0316,0.732,0.0814,0.168,0.729,155.882,0
110,0.205,0.0109,-32.302,0.0496,0.97,0.947,0.0673,0.0345,116.404,0
111,0.141,0.048,-31.382,0.043,0.913,0.958,0.105,0.0316,140.519,0
112,0.447,0.0476,-30.616,0.031,0.994,0.944,0.0705,0.44,164.353,0
113,0.282,0.161,-14.761,0.0381,0.933,0.956,0.597,0.576,192.761,0
114,0.606,0.191,-18.647,0.0649,0.531,0.000322,0.185,0.665,201.304,0
115,0.295,0.00384,-32.081,0.0593,0.994,0.923,0.102,0.105,62.515,0
116,0.409,0.105,-26.99,0.045,0.985,0.923,0.136,0.447,155.852,0
117,0.505,0.717,-11.649,0.956,0.779,0.0,0.739,0.383,51.646,0
118,0.256,0.237,-14.643,0.0394,0.454,0.887,0.191,0.0636,49.214,0
119,0.172,0.0109,-38.78,0.0463,0.992,0.985,0.0618,0.0305,81.261,0
120,0.395,0.0354,-32.582,0.0458,0.99,0.932,0.0835,0.0461,114.751,0
121,0.364,0.0168,-30.789,0.0591,0.98,0.883,0.0825,0.149,148.709,0
122,0.187,0.0481,-34.925,0.145,0.936,7.65e-05,0.322,0.21,168.007,0
123,0.331,0.991,-3.609,0.069,1.89e-05,8.61e-05,0.144,0.799,215.125,0
124,0.563,0.88,-4.418,0.956,0.81,0.0,0.697,0.317,50.263,0
125,0.403,0.0188,-38.647,0.0546,0.996,0.942,0.0835,0.364,80.369,0
126,0.14,0.142,-15.333,0.048,0.948,0.0525,0.128,0.0763,48.658,0
127,0.159,0.122,-30.145,0.0457,0.84,0.876,0.335,0.0369,133.917,0
128,0.492,0.0206,-28.406,0.0507,0.995,0.917,0.0886,0.304,117.764,0
129,0.294,0.457,-6.888,0.0395,0.219,0.0,0.117,0.224,44.573,0
130,0.698,0.613,-12.87,0.942,0.885,0.0,0.751,0.382,47.456,0
131,0.17,0.0228,-29.969,0.0415,0.971,0.904,0.191,0.0362,134.377,0
132,0.212,0.616,-6.348,0.0592,0.239,0.0,0.437,0.317,51.124,0
133,0.409,0.194,-9.789,0.0301,0.979,0.862,0.0681,0.37,36.404,0
134,0.183,0.0138,-32.248,0.0456,0.939,0.00123,0.116,0.0378,96.221,0
135,0.646,0.746,-7.155,0.341,0.0981,0.0,0.42,0.585,47.092,0
136,0.482,0.048,-27.978,0.0543,0.986,0.815,0.0887,0.23,117.634,0
137,0.286,0.0113,-31.333,0.0387,0.992,0.871,0.0811,0.068,62.605,0
138,0.614,0.884,-10.084,0.465,0.807,0.0,0.851,0.617,36.338,0
139,0.233,0.0962,-28.676,0.0824,0.936,0.000257,0.197,0.102,151.031,0
140,0.542,0.0514,-24.572,0.107,0.966,0.00123,0.107,0.559,152.528,0
141,0.564,0.368,-13.755,0.924,0.74,0.0,0.419,0.61,55.111,0
142,0.647,0.436,-11.579,0.94,0.827,0.0,0.73,0.561,50.874,0
143,0.109,0.063,-25.706,0.0473,0.979,0.856,0.11,0.0364,172.481,0
144,0.29,0.0208,-28.239,0.0578,0.992,0.872,0.114,0.0393,120.116,0
145,0.192,0.0105,-35.931,0.0545,0.96,3.12e-05,0.211,0.0807,167.568,0
146,0.239,0.00371,-34.16,0.0494,0.996,0.907,0.132,0.07,132.223,0
147,0.164,0.0262,-29.78,0.0453,0.992,0.692,0.0767,0.0582,134.191,0
148,0.263,0.114,-16.946,0.0392,0.909,0.426,0.336,0.15,53.969,0
149,0.289,0.0193,-32.551,0.0391,0.99,0.884,0.109,0.177,96.473,0
150,0.258,0.0772,-24.725,0.0384,0.969,0.919,0.106,0.145,164.467,0
151,0.6,0.0232,-33.955,0.0354,0.996,0.911,0.096,0.376,132.017,0
152,0.243,0.0881,-24.561,0.0394,0.983,0.821,0.132,0.0359,164.887,0
153,0.124,0.0123,-32.495,0.0397,0.992,0.947,0.107,0.0381,96.476,0
154,0.408,0.195,-14.037,0.0276,0.637,0.686,0.114,0.42,54.825,0
155,0.173,0.0238,-28.105,0.045,0.964,0.971,0.0781,0.0332,121.306,0
156,0.449,0.968,-2.949,0.848,0.92,1.56e-05,0.0586,0.339,52.3,0
157,0.344,0.236,-16.801,0.056,0.899,2.47e-05,0.132,0.122,53.969,0
158,0.276,0.0592,-28.905,0.0472,0.986,0.908,0.0869,0.0431,151.098,0
159,0.193,0.0282,-28.485,0.0436,0.962,0.36,0.0738,0.0559,59.96,0
160,0.278,0.0149,-29.46,0.0539,0.991,0.899,0.0891,0.19,170.13,0
161,0.521,0.188,-6.301,0.0694,0.95,0.0,0.229,0.469,52.181,0
162,0.194,0.0196,-28.069,0.0443,0.96,0.887,0.113,0.0805,120.928,0
163,0.537,0.657,-6.175,0.0747,0.253,0.0943,0.175,0.57,214.017,0
164,0.511,0.0366,-28.84,0.0396,0.973,0.731,0.0541,0.336,116.703,0
165,0.144,0.0162,-30.836,0.0415,0.991,0.959,0.114,0.0364,139.592,0
166,0.173,0.0281,-30.28,0.0483,0.724,0.916,0.197,0.0283,124.846,0
167,0.309,0.0195,-24.57,0.0382,0.849,0.0786,0.33,0.244,151.868,0
168,0.561,0.927,-5.337,0.938,0.65,0.0,0.916,0.49,51.166,0
169,0.206,0.78,-6.194,0.0778,0.0228,3.48e-06,0.149,0.582,213.911,0
170,0.483,0.597,-6.768,0.0386,0.000167,0.653,0.263,0.0735,54.951,0
171,0.0892,0.00269,-37.21,0.0395,0.984,0.676,0.0934,0.0356,82.048,0
172,0.176,0.212,-12.717,0.0448,0.97,0.00102,0.132,0.0461,38.873,0
173,0.107,0.129,-14.05,0.0325,0.974,0.92,0.0893,0.0527,47.704,0
174,0.203,0.82,-15.455,0.101,0.218,0.00342,0.107,0.281,202.618,0
175,0.0858,0.0672,-28.305,0.0412,0.933,0.922,0.0995,0.027,169.116,0
176,0.375,0.194,-23.995,0.0285,0.952,0.913,0.118,0.538,152.715,0
177,0.196,0.338,-13.937,0.0614,0.954,0.00617,0.227,0.262,54.993,0
178,0.211,0.513,-11.171,0.0375,0.00222,1.55e-05,0.712,0.115,53.711,0
179,0.651,0.943,-2.933,0.66,0.703,0.0,0.862,0.37,59.339,0
180,0.234,0.0606,-22.177,0.0367,0.962,0.932,0.0766,0.0349,51.388,0
181,0.263,0.983,-9.668,0.796,0.871,0.00904,0.731,0.0289,49.426,0
182,0.107,0.00591,-39.48,0.0395,0.812,0.231,0.0876,0.037,69.4,0
183,0.344,0.0304,-33.887,0.0445,0.459,0.253,0.0783,0.0733,90.139,0
184,0.305,0.0907,-25.983,0.0337,0.977,0.942,0.113,0.103,172.788,0
185,0.448,0.0325,-28.362,0.0342,0.985,0.933,0.0921,0.0797,59.583,0
186,0.143,0.0089,-34.774,0.0437,0.967,0.622,0.113,0.0385,90.514,0
187,0.594,0.803,-5.967,0.856,0.83,0.0,0.665,0.449,53.987,0
188,0.478,0.842,-6.469,0.487,0.0922,0.0,0.183,0.526,217.957,0
189,0.0601,0.00458,-43.071,0.0675,0.99,0.924,0.107,0.0281,71.672,0
190,0.582,0.849,-6.514,0.956,0.883,0.0,0.828,0.347,55.73,0
191,0.22,0.00788,-31.506,0.044,0.928,0.138,0.122,0.0382,109.568,0
192,0.225,0.537,-13.602,0.0422,0.981,0.875,0.0922,0.591,192.968,0
193,0.174,0.00586,-32.898,0.0443,0.856,0.662,0.0979,0.0578,131.919,0
194,0.559,0.935,-11.657,0.876,0.748,0.0,0.936,0.335,38.581,0
195,0.405,0.193,-11.496,0.0417,0.948,1.6e-05,0.141,0.183,49.552,0
196,0.467,0.00329,-34.051,0.0627,0.995,0.955,0.0756,0.377,101.987,0
197,0.744,0.331,-10.981,0.941,0.6,0.0,0.15,0.53,48.616,0
198,0.349,0.0817,-30.501,0.0487,0.97,0.872,0.101,0.612,105.606,0
199,0.594,0.291,-22.259,0.0781,0.694,0.784,0.103,0.248,159.945,0
200,0.243,0.667,-6.068,0.0498,0.000361,0.00666,0.075,0.165,52.131,0
201,0.208,0.0378,-30.122,0.0404,0.892,0.494,0.265,0.039,105.061,0
202,0.0731,0.00603,-35.857,0.0418,0.369,0.943,0.0797,0.0516,80.132,0
203,0.209,0.508,-12.887,0.145,0.531,0.894,0.0947,0.319,194.229,0
204,0.155,0.00416,-33.9,0.0395,0.98,0.515,0.0878,0.0363,89.916,0
205,0.118,0.0771,-27.783,0.0466,0.476,0.889,0.112,0.0664,151.01,0
206,0.299,0.0319,-30.624,0.0603,0.994,0.928,0.105,0.0975,105.922,0
207,0.0936,0.0114,-33.072,0.0522,0.991,0.95,0.0578,0.0544,164.88,0
208,0.06,0.00906,-40.207,0.051,0.749,0.961,0.112,0.0312,69.447,0
209,0.646,0.977,1.585,0.167,0.0102,0.769,0.201,0.606,123.016,0
210,0.19,0.0441,-31.164,0.0426,0.792,0.876,0.149,0.151,109.686,0
211,0.179,0.00603,-38.045,0.0365,0.99,0.923,0.0615,0.143,66.669,0
212,0.112,0.0568,-28.152,0.038,0.942,0.835,0.107,0.0394,169.718,0
213,0.228,0.984,-3.598,0.201,0.00108,2.83e-06,0.158,0.727,217.016,0
214,0.398,0.0695,-23.956,0.0394,0.99,0.746,0.0875,0.19,58.65,0
215,0.573,0.69,-9.289,0.938,0.821,0.0,0.701,0.517,48.375,0
216,0.455,0.101,-32.381,0.0457,0.628,0.897,0.324,0.771,108.548,0
217,0.32,0.00633,-33.598,0.0519,0.989,0.904,0.108,0.127,102.538,0
218,0.324,0.221,-24.036,0.0285,0.987,0.945,0.0892,0.136,150.569,0
219,0.295,0.0037,-35.688,0.0436,0.924,1.03e-05,0.161,0.0382,89.081,0
220,0.239,0.0298,-28.096,0.0441,0.995,0.905,0.0975,0.104,169.748,0
221,0.242,0.162,-22.415,0.0356,0.986,0.872,0.15,0.903,159.344,0
222,0.306,0.145,-27.741,0.038,0.605,0.962,0.107,0.0393,59.998,0
223,0.334,0.136,-20.818,0.0608,0.994,0.857,0.113,0.0534,181.197,0
224,0.654,0.184,-12.163,0.41,0.848,0.0,0.127,0.74,210.162,0
225,0.464,0.118,-24.641,0.0575,0.995,0.911,0.0931,0.789,158.408,0
226,0.317,0.0586,-26.564,0.0763,0.958,1.12e-05,0.429,0.0914,147.842,0
227,0.103,0.00216,-37.562,0.0453,0.969,0.00363,0.0706,0.0288,86.893,0
228,0.184,0.346,-9.885,0.0319,0.797,0.00509,0.319,0.0989,48.095,0
229,0.545,0.946,-2.369,0.862,0.803,0.0,0.767,0.655,64.794,0
230,0.572,0.407,-10.668,0.33,0.503,0.0,0.238,0.723,195.869,0
231,0.64,0.695,-7.276,0.187,0.0183,0.0,0.107,0.869,214.034,0
232,0.465,0.00412,-35.914,0.178,0.995,0.953,0.0594,0.0398,165.903,0
233,0.369,0.0722,-25.17,0.0345,0.847,0.00143,0.149,0.48,159.16,0
234,0.44,0.157,-23.374,0.0456,0.961,0.945,0.286,0.742,149.391,0
235,0.337,0.0242,-27.199,0.0536,0.977,0.914,0.111,0.352,112.18,0
236,0.32,0.000216,-9.093,0.0394,0.87,0.0,0.229,0.972,211.063,0
237,0.621,0.273,-25.348,0.044,0.694,0.938,0.116,0.0864,120.056,0
238,0.283,0.0158,-32.463,0.0512,0.882,0.928,0.0991,0.0275,108.2,0
239,0.18,0.00957,-42.872,0.0491,0.988,0.911,0.105,0.0355,70.658,0
240,0.515,0.068,-12.411,0.0365,0.976,0.0,0.101,0.182,55.413,0
241,0.326,0.0087,-39.802,0.0767,0.996,0.904,0.0881,0.185,72.437,0
242,0.254,0.993,0.342,0.178,0.00014,0.00826,0.275,0.29,113.933,0
243,0.458,0.0032,-32.212,0.0482,0.985,0.849,0.0838,0.128,109.294,0
244,0.154,0.0759,-25.632,0.0417,0.972,0.855,0.162,0.359,149.326,0
245,0.417,0.0814,-27.491,0.0429,0.994,0.911,0.101,0.483,111.904,0
246,0.379,0.187,-13.916,0.0345,0.975,7.25e-05,0.103,0.315,187.843,0
247,0.502,0.248,-16.124,0.046,0.801,0.00441,0.116,0.231,202.666,0
248,0.061,0.0255,-22.064,0.0393,0.855,0.899,0.0919,0.0321,57.042,0
249,0.857,0.978,0.681,0.374,0.066,0.0712,0.108,0.389,145.031,0
250,0.112,0.0139,-35.184,0.0377,0.976,0.953,0.0934,0.0462,81.151,0
251,0.0916,0.00938,-23.459,0.0509,0.906,0.897,0.0933,0.0377,162.976,0
252,0.134,0.00409,-37.964,0.0443,0.969,0.947,0.103,0.0381,72.715,0
253,0.653,0.659,-12.486,0.0516,0.343,0.752,0.127,0.167,196.16,0
254,0.717,0.279,-18.57,0.0673,0.0418,0.000179,0.0579,0.299,160.026,0
255,0.0889,0.213,-21.846,0.0447,0.822,0.89,0.429,0.0394,165.685,0
256,0.43,0.639,-10.989,0.127,0.0738,2.06e-05,0.344,0.905,49.341,0
257,0.507,0.0879,-27.566,0.0347,0.989,0.927,0.103,0.287,112.11,0
258,0.198,0.00577,-30.751,0.0412,0.968,0.523,0.0795,0.0406,85.582,0
259,0.0745,0.00389,-36.854,0.0411,0.923,0.666,0.194,0.0278,80.62,0
260,0.497,0.99,0.594,0.374,0.0147,0.0,0.326,0.165,145.045,0
261,0.11,0.0124,-34.259,0.0446,0.99,0.98,0.102,0.0297,82.362,0
262,0.255,0.219,-17.934,0.0369,0.315,0.758,0.0833,0.0335,55.894,0
263,0.238,0.843,-14.138,0.0767,0.0603,0.529,0.338,0.223,187.596,0
264,0.514,0.954,-3.033,0.194,0.00137,0.0,0.249,0.871,209.875,0
265,0.286,0.00405,-36.249,0.0401,0.996,0.933,0.092,0.265,78.413,0
266,0.474,0.477,-6.874,0.0463,0.77,0.0,0.172,0.963,212.624,0
267,0.0937,0.128,-21.964,0.0394,0.933,0.775,0.117,0.0392,163.545,0
268,0.164,0.133,-20.404,0.0393,0.819,0.358,0.116,0.297,148.49,0
269,0.457,0.418,-21.521,0.508,0.978,0.00162,0.199,0.221,54.903,0
270,0.359,0.0188,-25.329,0.0445,0.988,0.929,0.0834,0.0357,119.934,0
271,0.126,0.0128,-35.296,0.0405,0.963,0.976,0.0677,0.0309,95.995,0
272,0.674,0.482,-8.187,0.051,0.821,0.0,0.125,0.795,209.936,0
273,0.448,0.0179,-31.407,0.0538,0.996,0.894,0.141,0.327,102.111,0
274,0.489,0.00504,-35.226,0.0978,0.996,0.925,0.083,0.224,95.939,0
275,0.384,0.0909,-27.105,0.0517,0.985,0.932,0.0769,0.142,84.369,0
276,0.231,0.112,-23.43,0.0356,0.882,0.921,0.339,0.258,160.393,0
277,0.435,0.195,-19.44,0.0369,0.906,0.844,0.0454,0.0662,163.009,0
278,0.289,0.00176,-37.735,0.0444,0.994,0.96,0.108,0.046,72.875,0
279,0.574,0.394,-11.494,0.159,0.655,0.0741,0.111,0.361,209.667,0
280,0.0711,0.0111,-37.009,0.0482,0.973,0.946,0.096,0.0315,73.811,0
281,0.0951,0.0155,-32.509,0.0419,0.992,0.923,0.067,0.0347,65.297,0
282,0.549,0.285,-15.257,0.0324,0.929,0.968,0.107,0.468,199.979,0
283,0.745,0.167,-15.05,0.0569,0.916,1.85e-06,0.0741,0.963,161.292,0
284,0.227,0.0135,-30.336,0.0458,0.976,0.155,0.0886,0.039,97.725,0
285,0.0603,0.129,-17.959,0.0417,0.369,0.975,0.0798,0.0308,56.485,0
286,0.615,0.992,1.314,0.045,0.00029,0.055,0.317,0.39,140.013,0
287,0.52,0.446,-17.329,0.0549,0.146,0.0,0.0937,0.959,164.413,0
288,0.376,0.468,-8.456,0.0595,0.831,0.316,0.143,0.765,210.316,0
289,0.772,0.666,-5.034,0.93,0.824,0.0,0.822,0.605,57.71,0
290,0.501,0.00891,-30.902,0.0676,0.994,0.922,0.0829,0.158,76.695,0
291,0.335,0.034,-31.708,0.0746,0.912,3.73e-06,0.167,0.132,102.886,0
292,0.0859,0.0332,-30.436,0.0425,0.954,0.893,0.182,0.0336,85.288,0
293,0.372,0.15,-10.954,0.0498,0.957,0.00115,0.142,0.211,209.528,0
294,0.614,0.499,-9.833,0.95,0.847,0.0,0.779,0.583,56.22,0
295,0.366,0.0682,-29.689,0.0477,0.931,0.962,0.252,0.0353,114.244,0
296,0.389,0.0206,-23.851,0.0804,0.995,0.919,0.084,0.291,176.256,0
297,0.255,0.0176,-28.312,0.0461,0.987,0.867,0.0841,0.0392,105.997,0
298,0.23,0.199,-19.898,0.0464,0.952,3.41e-05,0.126,0.195,162.97,0
299,0.236,0.99,-4.719,0.095,0.00063,0.0586,0.407,0.141,217.913,0
300,0.195,0.0573,-26.696,0.0486,0.992,0.829,0.0717,0.0425,86.579,0
301,0.288,0.0248,-29.636,0.0451,0.956,6.22e-06,0.122,0.058,114.188,0
302,0.184,0.0954,-26.448,0.0435,0.994,0.974,0.118,0.0294,86.541,0
303,0.0701,0.0296,-30.827,0.0473,0.939,0.828,0.151,0.0668,76.553,0
304,0.542,0.438,-16.024,0.164,0.554,0.764,0.122,0.358,186.637,0
305,0.166,0.0363,-26.822,0.0381,0.978,0.922,0.0882,0.039,84.467,0
306,0.499,0.279,-15.338,0.0529,0.742,1.47e-06,0.0907,0.421,161.609,0
307,0.0994,0.0065,-35.035,0.041,0.931,0.663,0.105,0.0396,87.039,0
308,0.0996,0.0116,-35.154,0.0437,0.986,0.938,0.0981,0.0654,88.778,0
309,0.387,0.0446,-26.18,0.0576,0.978,0.813,0.161,0.406,86.575,0
310,0.0648,0.127,-20.633,0.0441,0.957,0.915,0.136,0.0323,57.188,0
311,0.256,0.0446,-27.995,0.0526,0.958,0.772,0.33,0.0873,143.085,0
312,0.279,0.125,-28.941,0.0396,0.771,0.889,0.128,0.0337,105.484,0
313,0.0942,0.0341,-26.675,0.04,0.92,0.953,0.277,0.0288,84.676,0
314,0.469,0.532,-15.666,0.0609,0.0128,0.125,0.118,0.52,160.914,0
315,0.628,0.272,-20.295,0.0409,0.564,0.000304,0.178,0.667,159.418,0
316,0.239,0.938,-5.119,0.151,0.000511,7.07e-06,0.123,0.351,53.065,0
317,0.336,0.0306,-32.3,0.0397,0.975,0.0194,0.0794,0.194,102.79,0
318,0.384,0.575,-11.808,0.0635,0.0818,0.00387,0.161,0.775,196.495,0
319,0.396,0.859,-3.365,0.298,0.38,0.0,0.672,0.658,59.64,0
